LAST SEEN   TYPE      REASON                  OBJECT                                    MESSAGE
43m         Normal    Pulled                  pod/shared-writer-6f4b987c7b-flz7v        Container image "busybox:1.37" already present on machine and can be accessed by the pod
43m         Normal    Created                 pod/shared-writer-6f4b987c7b-flz7v        Container created
43m         Normal    Started                 pod/shared-writer-6f4b987c7b-flz7v        Container started
43m         Normal    Pulled                  pod/shared-writer-6f4b987c7b-kxqdb        Container image "busybox:1.37" already present on machine and can be accessed by the pod
43m         Normal    Created                 pod/shared-writer-6f4b987c7b-kxqdb        Container created
43m         Normal    Pulled                  pod/shared-writer-6f4b987c7b-fpplv        Container image "busybox:1.37" already present on machine and can be accessed by the pod
43m         Normal    Started                 pod/shared-writer-6f4b987c7b-kxqdb        Container started
43m         Normal    Started                 pod/shared-writer-6f4b987c7b-fpplv        Container started
42m         Normal    Killing                 pod/shared-writer-6f4b987c7b-fpplv        Stopping container writer
42m         Normal    Killing                 pod/shared-writer-6f4b987c7b-kxqdb        Stopping container writer
42m         Normal    Killing                 pod/shared-writer-6f4b987c7b-flz7v        Stopping container writer
40m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-0 in StatefulSet webnote successful
40m         Normal    SuccessfulCreate        statefulset/webnote                       Create Claim content-webnote-0 Pod webnote-0 in StatefulSet webnote success
40m         Normal    WaitForFirstConsumer    persistentvolumeclaim/content-webnote-0   waiting for first consumer to be created before binding
40m         Normal    ExternalProvisioning    persistentvolumeclaim/content-webnote-0   Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
40m         Normal    Provisioning            persistentvolumeclaim/content-webnote-0   External provisioner is provisioning volume for claim "dso202-practical-02/content-webnote-0"
40m         Normal    ProvisioningSucceeded   persistentvolumeclaim/content-webnote-0   Successfully provisioned volume pvc-c27f7300-0f1a-47e4-a33d-5ca972bd4e10
40m         Normal    Created                 pod/webnote-0                             Container created
40m         Normal    Scheduled               pod/webnote-0                             Successfully assigned dso202-practical-02/webnote-0 to worker-node-1
40m         Normal    Started                 pod/webnote-0                             Container started
40m         Normal    Pulled                  pod/webnote-0                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
40m         Normal    Pulling                 pod/webnote-0                             Pulling image "nginx:1.30-alpine"
39m         Normal    Started                 pod/webnote-0                             Container started
39m         Normal    Created                 pod/webnote-0                             Container created
39m         Normal    Pulled                  pod/webnote-0                             Successfully pulled image "nginx:1.30-alpine" in 1m10.693s (1m10.693s including waiting). Image size: 28746131 bytes.
38m         Normal    WaitForFirstConsumer    persistentvolumeclaim/content-webnote-1   waiting for first consumer to be created before binding
38m         Normal    SuccessfulCreate        statefulset/webnote                       Create Claim content-webnote-1 Pod webnote-1 in StatefulSet webnote success
38m         Normal    ExternalProvisioning    persistentvolumeclaim/content-webnote-1   Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
38m         Normal    Provisioning            persistentvolumeclaim/content-webnote-1   External provisioner is provisioning volume for claim "dso202-practical-02/content-webnote-1"
38m         Normal    ProvisioningSucceeded   persistentvolumeclaim/content-webnote-1   Successfully provisioned volume pvc-da635a61-daf4-4c23-9bad-a6a45590f7bb
38m         Normal    Pulled                  pod/webnote-1                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
38m         Normal    Started                 pod/webnote-1                             Container started
38m         Normal    Created                 pod/webnote-1                             Container created
38m         Normal    Scheduled               pod/webnote-1                             Successfully assigned dso202-practical-02/webnote-1 to worker-node-2
38m         Normal    Pulling                 pod/webnote-1                             Pulling image "nginx:1.30-alpine"
37m         Normal    Created                 pod/webnote-1                             Container created
37m         Normal    Started                 pod/webnote-1                             Container started
37m         Normal    Pulled                  pod/webnote-1                             Successfully pulled image "nginx:1.30-alpine" in 1m8.924s (1m8.924s including waiting). Image size: 28746131 bytes.
37m         Normal    Provisioning            persistentvolumeclaim/content-webnote-2   External provisioner is provisioning volume for claim "dso202-practical-02/content-webnote-2"
37m         Normal    SuccessfulCreate        statefulset/webnote                       Create Claim content-webnote-2 Pod webnote-2 in StatefulSet webnote success
37m         Normal    WaitForFirstConsumer    persistentvolumeclaim/content-webnote-2   waiting for first consumer to be created before binding
37m         Normal    ExternalProvisioning    persistentvolumeclaim/content-webnote-2   Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
37m         Normal    ProvisioningSucceeded   persistentvolumeclaim/content-webnote-2   Successfully provisioned volume pvc-236ecf2a-99e2-40af-b61f-ee2340b3ba21
37m         Normal    Scheduled               pod/webnote-2                             Successfully assigned dso202-practical-02/webnote-2 to worker-node-2
37m         Normal    Pulled                  pod/webnote-2                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
37m         Normal    Created                 pod/webnote-2                             Container created
37m         Normal    Started                 pod/webnote-2                             Container started
37m         Normal    Pulled                  pod/webnote-2                             Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
37m         Normal    Created                 pod/webnote-2                             Container created
37m         Normal    Started                 pod/webnote-2                             Container started
30m         Normal    Scheduled               pod/client                                Successfully assigned dso202-practical-02/client to worker-node-1
30m         Normal    Started                 pod/client                                Container started
30m         Normal    Created                 pod/client                                Container created
30m         Normal    Pulled                  pod/client                                Container image "busybox:1.37" already present on machine and can be accessed by the pod
28m         Normal    Killing                 pod/webnote-1                             Stopping container nginx
28m         Normal    Created                 pod/webnote-1                             Container created
28m         Normal    Scheduled               pod/webnote-1                             Successfully assigned dso202-practical-02/webnote-1 to worker-node-2
28m         Normal    Pulled                  pod/webnote-1                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
28m         Normal    Started                 pod/webnote-1                             Container started
28m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-1 in StatefulSet webnote successful
28m         Normal    Started                 pod/webnote-1                             Container started
28m         Normal    Created                 pod/webnote-1                             Container created
28m         Normal    Pulled                  pod/webnote-1                             Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
26m         Normal    SuccessfulCreate        statefulset/webnote                       Create Claim content-webnote-3 Pod webnote-3 in StatefulSet webnote success
26m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-3 in StatefulSet webnote successful
26m         Normal    WaitForFirstConsumer    persistentvolumeclaim/content-webnote-3   waiting for first consumer to be created before binding
26m         Normal    Provisioning            persistentvolumeclaim/content-webnote-3   External provisioner is provisioning volume for claim "dso202-practical-02/content-webnote-3"
26m         Normal    ExternalProvisioning    persistentvolumeclaim/content-webnote-3   Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
26m         Normal    ProvisioningSucceeded   persistentvolumeclaim/content-webnote-3   Successfully provisioned volume pvc-38897035-b4c9-4558-91ff-fe3b4f45ee5c
26m         Normal    Pulled                  pod/webnote-3                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
26m         Normal    Started                 pod/webnote-3                             Container started
26m         Normal    Created                 pod/webnote-3                             Container created
26m         Normal    Pulled                  pod/webnote-3                             Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
26m         Normal    Started                 pod/webnote-3                             Container started
26m         Normal    Created                 pod/webnote-3                             Container created
26m         Normal    Scheduled               pod/webnote-3                             Successfully assigned dso202-practical-02/webnote-3 to worker-node-1
26m         Normal    SuccessfulDelete        statefulset/webnote                       Delete Pod webnote-3 in StatefulSet webnote successful
26m         Normal    Killing                 pod/webnote-3                             Stopping container nginx
26m         Normal    Killing                 pod/webnote-2                             Stopping container nginx
26m         Normal    SuccessfulDelete        statefulset/webnote                       Delete Pod webnote-2 in StatefulSet webnote successful
24m         Normal    Created                 pod/webnote-2                             Container created
