LAST SEEN   TYPE      REASON              OBJECT                                 MESSAGE
20h         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled down replica set web-deployment-67499b7844 from 1 to 0
20h         Normal    SuccessfulDelete    replicaset/web-deployment-67499b7844   Deleted pod: web-deployment-67499b7844-d5s86
20h         Normal    Started             pod/web-deployment-ddd46bfd-tkzbg      Container started
20h         Normal    Killing             pod/web-deployment-ddd46bfd-tkzbg      Stopping container web
20h         Normal    Pulled              pod/web-deployment-ddd46bfd-tkzbg      Successfully pulled image "nginx:1.31-alpine" in 10m56.647s (10m56.647s including waiting). Image size: 25971031 bytes.
20h         Normal    Created             pod/web-deployment-ddd46bfd-tkzbg      Container created
20h         Warning   Failed              pod/web-deployment-67499b7844-d5s86    Failed to pull image "nginx:9.99-does-not-exist": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/library/nginx:9.99-does-not-exist": failed to resolve reference "docker.io/library/nginx:9.99-does-not-exist": docker.io/library/nginx:9.99-does-not-exist: not found
20h         Warning   Failed              pod/web-deployment-67499b7844-d5s86    Error: ErrImagePull
9m38s       Normal    Started             pod/web-deployment-76ddf5fcf9-wndb5    Container started
9m38s       Normal    SandboxChanged      pod/web-deployment-76ddf5fcf9-wndb5    Pod sandbox changed, it will be killed and re-created.
9m38s       Normal    Pulled              pod/web-deployment-76ddf5fcf9-wndb5    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
9m38s       Normal    Created             pod/web-deployment-76ddf5fcf9-wndb5    Container created
9m37s       Normal    SandboxChanged      pod/web-deployment-76ddf5fcf9-szxd8    Pod sandbox changed, it will be killed and re-created.
9m37s       Normal    SandboxChanged      pod/web-deployment-76ddf5fcf9-v9fqc    Pod sandbox changed, it will be killed and re-created.
9m36s       Normal    Created             pod/web-deployment-76ddf5fcf9-v9fqc    Container created
9m36s       Normal    Started             pod/web-deployment-76ddf5fcf9-v9fqc    Container started
9m36s       Normal    Pulled              pod/web-deployment-76ddf5fcf9-v9fqc    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
9m36s       Normal    Started             pod/web-deployment-76ddf5fcf9-szxd8    Container started
9m36s       Normal    Created             pod/web-deployment-76ddf5fcf9-szxd8    Container created
9m36s       Normal    Pulled              pod/web-deployment-76ddf5fcf9-szxd8    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
